team,current_form,rank
Abkhazia,1.8,
Afghanistan,1.0,150.0
Albania,0.0,66.0
Alderney,0.6,
Algeria,1.4,31.0
Ambazonia,0.0,
American Samoa,0.0,192.0
Andalusia,2.6,
Andorra,0.8,151.0
Angola,1.2,125.0
Anguilla,1.2,209.0
Antigua and Barbuda,0.4,126.0
Arameans Suryoye,2.0,
Argentina,3.0,7.0
Armenia,0.4,99.0
Artsakh,2.0,
Aruba,2.0,200.0
Asturias,3.0,
Australia,1.2,41.0
Austria,1.4,23.0
Aymara,0.0,
Azerbaijan,1.4,109.0
Bahamas,0.0,196.0
Bahrain,1.2,97.0
Bangladesh,1.6,186.0
Barawa,0.6,
Barbados,0.6,162.0
Basque Country,2.2,
Belarus,2.2,88.0
Belgium,2.0,1.0
Belize,1.2,170.0
Benin,1.4,83.0
Bermuda,0.8,169.0
Bhutan,0.0,189.0
Biafra,2.0,
Bolivia,1.2,79.0
Bonaire,0.6,
Bosnia and Herzegovina,1.0,55.0
Botswana,0.6,146.0
Brazil,2.0,3.0
British Virgin Islands,2.0,208.0
Brittany,1.8,
Brunei,0.6,
Bulgaria,2.0,68.0
Burkina Faso,1.0,58.0
Burundi,0.0,138.0
Cambodia,1.4,173.0
Cameroon,1.8,50.0
Canada,1.4,72.0
Canary Islands,2.25,
Canton Ticino,0.6,
Cape Verde,0.6,81.0
Cascadia,2.0,
Catalonia,1.6,
Cayman Islands,1.4,193.0
Central African Republic,0.8,114.0
Central Spain,1.5,
Chad,0.2,178.0
Chagos Islands,0.0,
Chameria,1.6,
Chechnya,0.3333333333333333,
Chile,1.8,17.0
China,1.6,
Cilento,0.0,
Colombia,2.2,15.0
Comoros,1.2,130.0
Congo,0.2,91.0
Cook Islands,0.6,
Corsica,1.8,
Costa Rica,0.4,51.0
County of Nice,2.0,
Crimea,1.8,
Croatia,1.8,11.0
Cuba,1.6,180.0
Curaçao,0.8,76.0
Cyprus,1.4,100.0
Czech Republic,1.4,42.0
Czechoslovakia,2.2,
DR Congo,0.8,60.0
Darfur,0.0,
Denmark,1.6,12.0
Djibouti,0.0,184.0
Dominica,0.2,184.0
Dominican Republic,1.2,159.0
Donetsk PR,1.6,
Délvidék,1.5,
East Turkestan,1.2,
Ecuador,1.4,56.0
Egypt,1.2,49.0
El Salvador,1.0,70.0
Elba Island,3.0,
Ellan Vannin,2.0,
England,2.4,4.0
Equatorial Guinea,0.8,134.0
Eritrea,0.0,205.0
Estonia,2.0,109.0
Eswatini,0.4,
Ethiopia,1.4,146.0
Falkland Islands,0.2,
Faroe Islands,1.8,107.0
Felvidék,1.8,
Fiji,0.0,164.0
Finland,1.4,54.0
France,2.4,2.0
Franconia,2.0,
French Guiana,0.4,
Frøya,0.6,
Gabon,0.2,86.0
Galicia,1.4,
Gambia,0.8,157.0
Georgia,1.6,89.0
German DR,2.6,
Germany,2.0,13.0
Ghana,1.0,52.0
Gibraltar,1.2,195.0
Gotland,1.2,
Gozo,1.0,
Greece,0.6,53.0
Greenland,1.2,
Grenada,0.6,160.0
Guadeloupe,1.2,
Guam,0.6,199.0
Guatemala,0.6,131.0
Guernsey,1.8,
Guinea,1.0,73.0
Guinea-Bissau,0.8,120.0
Guyana,3.0,167.0
Găgăuzia,0.3333333333333333,
Haiti,0.6,84.0
Hitra,1.2,
Hmong,1.0,
Honduras,1.0,64.0
Hong Kong,1.0,143.0
Hungary,2.0,40.0
Iceland,0.4,46.0
India,0.2,104.0
Indonesia,1.8,173.0
Iran,1.8,29.0
Iraq,0.2,69.0
Iraqi Kurdistan,1.8,
Isle of Man,2.4,
Isle of Wight,1.8,
Israel,1.6,87.0
Italy,2.0,10.0
Ivory Coast,1.8,61.0
Jamaica,1.2,47.0
Japan,1.6,27.0
Jersey,2.0,
Jordan,0.0,95.0
Kabylia,1.0,
Kazakhstan,1.4,122.0
Kenya,1.0,104.0
Kernow,2.6,
Kiribati,0.0,
Kosovo,1.4,117.0
Kurdistan,2.6,
Kuwait,1.0,148.0
Kyrgyzstan,0.6,
Kárpátalja,2.6,
Laos,0.6,188.0
Latvia,0.4,136.0
Lebanon,2.0,92.0
Lesotho,1.0,143.0
Liberia,0.8,152.0
Libya,1.4,111.0
Liechtenstein,0.6,181.0
Lithuania,0.8,129.0
Luhansk PR,1.4,
Luxembourg,0.6,98.0
Macau,0.0,182.0
Madagascar,1.4,94.0
Madrid,0.0,
Malawi,1.0,123.0
Malaysia,3.0,153.0
Maldives,0.0,155.0
Mali,0.6,57.0
Malta,1.2,176.0
Manchukuo,0.0,
Mapuche,1.5,
Marshall Islands,0.0,
Martinique,0.4,
Matabeleland,1.6,
Maule Sur,3.0,
Mauritania,0.8,101.0
Mauritius,0.4,172.0
Mayotte,1.6,
Menorca,0.6,
Mexico,2.4,9.0
Micronesia,0.6,
Moldova,0.4,177.0
Monaco,1.4,
Mongolia,0.6,190.0
Montenegro,1.4,63.0
Montserrat,0.6,183.0
Morocco,2.0,35.0
Mozambique,0.6,106.0
Myanmar,0.8,137.0
Namibia,0.2,119.0
Nepal,0.4,171.0
Netherlands,2.2,14.0
New Caledonia,1.4,156.0
New Zealand,0.2,118.0
Nicaragua,0.8,149.0
Niger,0.6,113.0
Nigeria,1.6,35.0
Niue,0.0,
North Korea,0.4,
North Macedonia,0.4,65.0
North Vietnam,1.4,
Northern Cyprus,2.6,
Northern Ireland,1.4,45.0
Northern Mariana Islands,1.4,
Norway,1.8,44.0
Occitania,2.2,
Oman,1.0,82.0
Orkney,1.8,
Padania,1.8,
Pakistan,2.0,200.0
Palau,0.0,
Palestine,0.8,102.0
Panama,0.8,78.0
Panjab,1.4,
Papua New Guinea,2.6,166.0
Paraguay,1.0,34.0
Parishes of Jersey,2.0,
Peru,0.8,25.0
Philippines,3.0,124.0
Poland,1.4,19.0
Portugal,1.6,5.0
Provence,1.2,
Puerto Rico,1.8,179.0
Qatar,0.4,58.0
Quebec,2.0,
Raetia,1.4,
Republic of Ireland,1.8,42.0
Republic of St. Pauli,1.0,
Rhodes,1.8,
Romani people,0.6,
Romania,1.4,37.0
Rouet-Provence,0.3333333333333333,
Russia,2.0,39.0
Rwanda,1.8,133.0
Ryūkyū,0.0,
Réunion,1.2,
Saare County,1.6,
Saarland,0.2,
Saint Barthélemy,1.4,
Saint Helena,0.0,
Saint Kitts and Nevis,1.4,
Saint Lucia,0.6,
Saint Martin,1.8,
Saint Pierre and Miquelon,0.0,
Saint Vincent and the Grenadines,1.8,
Samoa,1.2,194.0
San Marino,0.2,210.0
Sark,0.0,
Saudi Arabia,1.2,67.0
Saugeais,1.0,
Scotland,1.8,48.0
Sealand,2.2,
Seborga,0.0,
Senegal,0.8,20.0
Serbia,1.2,30.0
Seychelles,0.0,202.0
Shetland,1.6,
Sierra Leone,1.4,116.0
Silesia,1.6,
Singapore,1.8,158.0
Sint Maarten,2.2,
Slovakia,1.4,33.0
Slovenia,1.0,62.0
Solomon Islands,0.0,141.0
Somalia,0.8,197.0
Somaliland,1.2,
South Africa,1.4,71.0
South Korea,1.8,38.0
South Ossetia,1.6,
South Sudan,0.4,163.0
South Yemen,0.0,
Spain,3.0,6.0
Sri Lanka,0.8,206.0
Sudan,0.6,127.0
Suriname,1.0,141.0
Surrey,3.0,
Sweden,1.0,20.0
Switzerland,2.0,16.0
Syria,1.0,76.0
Székely Land,1.4,
Sápmi,0.6,
São Tomé and Príncipe,0.6,187.0
Tahiti,1.8,161.0
Taiwan,0.0,
Tajikistan,2.6,121.0
Tamil Eelam,3.0,
Tanzania,1.0,135.0
Thailand,2.2,111.0
Tibet,0.2,
Timor-Leste,0.6,197.0
Togo,1.8,128.0
Tonga,1.2,203.0
Trinidad and Tobago,0.2,103.0
Tunisia,0.0,26.0
Turkey,1.8,32.0
Turkmenistan,2.4,132.0
Turks and Caicos Islands,1.4,203.0
Tuvalu,1.2,
Two Sicilies,0.6,
Uganda,0.8,79.0
Ukraine,1.8,24.0
United Arab Emirates,1.0,74.0
United Koreans in Japan,1.2,
United States,1.8,22.0
United States Virgin Islands,1.4,
Uruguay,0.8,8.0
Uzbekistan,0.0,85.0
Vanuatu,2.0,164.0
Vatican City,0.4,
Venezuela,1.4,28.0
Vietnam,2.4,93.0
Vietnam Republic,0.0,
Wales,1.2,18.0
Wallis Islands and Futuna,0.6,
West Papua,0.5,
Western Armenia,1.0,
Western Australia,1.0,
Western Isles,1.4,
Western Sahara,1.2,
Yemen,2.2,145.0
Yemen DPR,0.8,
Ynys Môn,2.4,
Yorkshire,2.4,
Yoruba Nation,0.5,
Yugoslavia,1.2,
Zambia,0.4,90.0
Zanzibar,2.0,
Zimbabwe,1.4,108.0
Åland Islands,0.8,
